x y w logw
0.83850007 0.36807045 1.235212e-03 -2.9083
0.12194250 0.38702818 1.785778e-03 -2.7482
0.87805750 0.61297182 1.785778e-03 -2.7482
0.63605193 0.82829209 1.003825e-03 -2.9983
0.36394807 0.17170791 1.003825e-03 -2.9983
0.33475260 0.83834662 7.599674e-04 -3.1192
0.66524740 0.16165338 7.599674e-04 -3.1192
0.16838243 0.64133948 8.886876e-04 -3.0513
0.83161757 0.35866052 8.886876e-04 -3.0513
0.14703016 0.35058273 1.921269e-03 -2.7164
0.85296984 0.64941727 1.921269e-03 -2.7164
0.72443397 0.84516503 1.835650e-03 -2.7362
0.27556603 0.15483497 1.835650e-03 -2.7362
0.27965827 0.84043876 1.439188e-03 -2.8419
0.72034173 0.15956124 1.439188e-03 -2.8419
0.17562132 0.76745961 1.511301e-03 -2.8206
0.82437868 0.23254039 1.511301e-03 -2.8206
0.13948220 0.26865064 2.920910e-04 -3.5345
0.86051780 0.73134936 2.920910e-04 -3.5345
0.75290713 0.87118022 9.424518e-04 -3.0257
0.24709287 0.12881978 9.424518e-04 -3.0257
0.22369127 0.83970963 1.581349e-03 -2.8010
0.77630873 0.16029037 1.581349e-03 -2.8010
0.15851348 0.78888529 9.032890e-04 -3.0442
0.84148652 0.21111471 9.032890e-04 -3.0442
0.20820608 0.21054231 1.815962e-03 -2.7409
0.79179392 0.78945769 1.815962e-03 -2.7409
0.51933167 0.85281053 1.077654e-03 -2.9675
0.48066833 0.14718947 1.077654e-03 -2.9675
0.47119514 0.86964500 1.906072e-03 -2.7199
0.52880486 0.13035500 1.906072e-03 -2.7199
0.13765239 0.51778742 1.992102e-03 -2.7007
0.86234761 0.48221258 1.992102e-03 -2.7007
0.11656138 0.47204656 1.875296e-03 -2.7269
0.88343862 0.52795344 1.875296e-03 -2.7269
0.61116776 0.84288175 7.042132e-04 -3.1523
0.38883224 0.15711825 7.042132e-04 -3.1523
0.34924866 0.85816001 1.425621e-03 -2.8460
0.65075134 0.14183999 1.425621e-03 -2.8460
0.11517456 0.63625523 1.718395e-03 -2.7649
0.88482544 0.36374477 1.718395e-03 -2.7649
0.12379635 0.31155364 1.677432e-03 -2.7754
0.87620365 0.68844636 1.677432e-03 -2.7754
0.66399814 0.84947990 1.625602e-03 -2.7890
0.33600186 0.15052010 1.625602e-03 -2.7890
0.29782622 0.86024278 1.008754e-03 -2.9962
0.70217378 0.13975722 1.008754e-03 -2.9962
0.16578397 0.71023559 1.893590e-03 -2.7227
0.83421603 0.28976441 1.893590e-03 -2.7227
0.16657930 0.25587082 5.093158e-04 -3.2930
0.83342070 0.74412918 5.093158e-04 -3.2930
0.75683207 0.87771407 7.116300e-04 -3.1477
0.24316793 0.12228593 7.116300e-04 -3.1477
0.24868439 0.86752914 1.317588e-03 -2.8802
0.75131561 0.13247086 1.317588e-03 -2.8802
0.14038953 0.74466819 1.709889e-03 -2.7670
0.85961047 0.25533181 1.709889e-03 -2.7670
0.17987785 0.24063078 1.541256e-03 -2.8121
0.82012215 0.75936922 1.541256e-03 -2.8121
0.78758520 0.85003578 1.612376e-03 -2.7925
0.21241480 0.14996422 1.612376e-03 -2.7925
0.19732828 0.86747561 1.431986e-03 -2.8441
0.80267172 0.13252439 1.431986e-03 -2.8441
0.14187057 0.81084850 1.337001e-03 -2.8739
0.85812943 0.18915150 1.337001e-03 -2.8739
0.15521937 0.20678735 1.607939e-03 -2.7937
0.84478063 0.79321265 1.607939e-03 -2.7937
0.84196808 0.90212132 1.238776e-03 -2.9070
0.15803192 0.09787868 1.238776e-03 -2.9070
0.15236761 0.87544392 1.132772e-03 -2.9459
0.84763239 0.12455608 1.132772e-03 -2.9459
0.12760184 0.84773645 1.269300e-03 -2.8964
0.87239816 0.15226355 1.269300e-03 -2.8964
0.13137426 0.12173038 1.267629e-03 -2.8970
0.86862574 0.87826962 1.267629e-03 -2.8970
0.54639082 0.87442514 1.705240e-03 -2.7682
0.45360918 0.12557486 1.705240e-03 -2.7682
0.43660866 0.89403598 1.662571e-03 -2.7792
0.56339134 0.10596402 1.662571e-03 -2.7792
0.11348842 0.55628191 1.817274e-03 -2.7406
0.88651158 0.44371809 1.817274e-03 -2.7406
0.08155313 0.45823946 1.123014e-03 -2.9496
0.91844687 0.54176054 1.123014e-03 -2.9496
0.58640211 0.85538226 1.316092e-03 -2.8807
0.41359789 0.14461774 1.316092e-03 -2.8807
0.40273777 0.86727203 1.682829e-03 -2.7740
0.59726223 0.13272797 1.682829e-03 -2.7740
0.13729239 0.59638984 1.899829e-03 -2.7213
0.86270761 0.40361016 1.899829e-03 -2.7213
0.09955446 0.42243757 1.583415e-03 -2.8004
0.90044554 0.57756243 1.583415e-03 -2.8004
0.62618688 0.87459940 1.688758e-03 -2.7724
0.37381312 0.12540060 1.688758e-03 -2.7724
0.31821279 0.88303038 1.448514e-03 -2.8391
0.68178721 0.11696962 1.448514e-03 -2.8391
0.13965879 0.67341208 1.826926e-03 -2.7383
0.86034121 0.32658792 1.826926e-03 -2.7383
0.08446410 0.30193898 1.375894e-03 -2.8614
0.91553590 0.69806102 1.375894e-03 -2.8614
0.69336937 0.87458961 1.658256e-03 -2.7803
0.30663063 0.12541039 1.658256e-03 -2.7803
0.28313968 0.90332119 5.639773e-04 -3.2487
0.71686032 0.09667881 5.639773e-04 -3.2487
0.11612929 0.70907188 1.629992e-03 -2.7878
0.88387071 0.29092812 1.629992e-03 -2.7878
0.10559903 0.26926290 1.482120e-03 -2.8291
0.89440097 0.73073710 1.482120e-03 -2.8291
0.78620220 0.89833245 1.394951e-03 -2.8554
0.21379780 0.10166755 1.394951e-03 -2.8554
0.22181514 0.89541113 1.296111e-03 -2.8874
0.77818486 0.10458887 1.296111e-03 -2.8874
0.11725734 0.77834611 1.516884e-03 -2.8190
0.88274266 0.22165389 1.516884e-03 -2.8190
0.10373259 0.20937658 1.399649e-03 -2.8540
0.89626741 0.79062342 1.399649e-03 -2.8540
0.81772722 0.87526107 1.455480e-03 -2.8370
0.18227278 0.12473893 1.455480e-03 -2.8370
0.17783418 0.89750686 1.075131e-03 -2.9685
0.82216582 0.10249314 1.075131e-03 -2.9685
0.10447438 0.82061730 1.232623e-03 -2.9092
0.89552562 0.17938270 1.232623e-03 -2.9092
0.12765152 0.17933715 1.448580e-03 -2.8391
0.87234848 0.82066285 1.448580e-03 -2.8391
0.87910843 0.91458019 9.346869e-04 -3.0293
0.12089157 0.08541981 9.346869e-04 -3.0293
0.11853573 0.88817342 1.110743e-03 -2.9544
